"näringsgren SNI 2007","år","tabellinnehåll","Basfakta företag enligt Företagens ekonomi"
"43.39 annan slutbehandling av byggnader","2022","Förädlingsvärde, mnkr",612
"43.39 annan slutbehandling av byggnader","2022","Summa tillgångar, mnkr",558
"43.39 annan slutbehandling av byggnader","2022","Bruttoinvesteringar, mnkr",34
"43.39 annan slutbehandling av byggnader","2022","Nettoinvesteringar, mnkr",31
"43.39 annan slutbehandling av byggnader","2023","Antal företag",368
"43.39 annan slutbehandling av byggnader","2023","Antal anställda",966
"43.39 annan slutbehandling av byggnader","2023","Nettoomsättning, mnkr",1066
"43.39 annan slutbehandling av byggnader","2023","Förädlingsvärde, mnkr",613
"43.39 annan slutbehandling av byggnader","2023","Summa tillgångar, mnkr",586
"43.39 annan slutbehandling av byggnader","2023","Bruttoinvesteringar, mnkr",58
"43.39 annan slutbehandling av byggnader","2023","Nettoinvesteringar, mnkr",46
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2022","Antal företag",10600
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2022","Antal anställda",31855
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2022","Nettoomsättning, mnkr",80379
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2022","Förädlingsvärde, mnkr",30058
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2022","Summa tillgångar, mnkr",60956
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2022","Bruttoinvesteringar, mnkr",4190
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2022","Nettoinvesteringar, mnkr",3558
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2023","Antal företag",10759
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2023","Antal anställda",33341
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2023","Nettoomsättning, mnkr",87481
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2023","Förädlingsvärde, mnkr",33307
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2023","Summa tillgångar, mnkr",69257
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2023","Bruttoinvesteringar, mnkr",4247
"43.9 annan specialiserad bygg- och anläggningsverksamhet","2023","Nettoinvesteringar, mnkr",3581
"43.91 takarbeten","2022","Antal företag",2872
"43.91 takarbeten","2022","Antal anställda",8904
"43.91 takarbeten","2022","Nettoomsättning, mnkr",18791
"43.91 takarbeten","2022","Förädlingsvärde, mnkr",7486
"43.91 takarbeten","2022","Summa tillgångar, mnkr",12196
"43.91 takarbeten","2022","Bruttoinvesteringar, mnkr",497
"43.91 takarbeten","2022","Nettoinvesteringar, mnkr",314
"43.91 takarbeten","2023","Antal företag",2909
"43.91 takarbeten","2023","Antal anställda",9164
"43.91 takarbeten","2023","Nettoomsättning, mnkr",20192
"43.91 takarbeten","2023","Förädlingsvärde, mnkr",8000
"43.91 takarbeten","2023","Summa tillgångar, mnkr",12683
"43.91 takarbeten","2023","Bruttoinvesteringar, mnkr",426
"43.91 takarbeten","2023","Nettoinvesteringar, mnkr",373
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2022","Antal företag",7728
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2022","Antal anställda",22951
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2022","Nettoomsättning, mnkr",61588
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2022","Förädlingsvärde, mnkr",22572
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2022","Summa tillgångar, mnkr",48761
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2022","Bruttoinvesteringar, mnkr",3693
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2022","Nettoinvesteringar, mnkr",3244
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2023","Antal företag",7850
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2023","Antal anställda",24177
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2023","Nettoomsättning, mnkr",67289
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2023","Förädlingsvärde, mnkr",25307
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2023","Summa tillgångar, mnkr",56573
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2023","Bruttoinvesteringar, mnkr",3821
"43.99 övrig specialiserad bygg- och anläggningsverksamhet","2023","Nettoinvesteringar, mnkr",3209
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Antal företag",108792
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Antal anställda",504315
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Nettoomsättning, mnkr",3453911
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Förädlingsvärde, mnkr",523250
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Summa tillgångar, mnkr",2390741
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Bruttoinvesteringar, mnkr",46058
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Nettoinvesteringar, mnkr",40843
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Antal företag",111154
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Antal anställda",498956
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Nettoomsättning, mnkr",3559350
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Förädlingsvärde, mnkr",518251
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Summa tillgångar, mnkr",2366888
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Bruttoinvesteringar, mnkr",45056
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Nettoinvesteringar, mnkr",37891
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Antal företag",108792
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Antal anställda",504315
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Nettoomsättning, mnkr",3453911
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Förädlingsvärde, mnkr",523250
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Summa tillgångar, mnkr",2390741
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Bruttoinvesteringar, mnkr",46058
"G-45-47 handel; reparation av motorfordon och motorcyklar","2022","Nettoinvesteringar, mnkr",40843
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Antal företag",111154
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Antal anställda",498956
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Nettoomsättning, mnkr",3559350
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Förädlingsvärde, mnkr",518251
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Summa tillgångar, mnkr",2366888
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Bruttoinvesteringar, mnkr",45056
"G-45-47 handel; reparation av motorfordon och motorcyklar","2023","Nettoinvesteringar, mnkr",37891
"45 handel samt reparation av motorfordon och motorcyklar","2022","Antal företag",21892
"45 handel samt reparation av motorfordon och motorcyklar","2022","Antal anställda",73141
"45 handel samt reparation av motorfordon och motorcyklar","2022","Nettoomsättning, mnkr",563075
"45 handel samt reparation av motorfordon och motorcyklar","2022","Förädlingsvärde, mnkr",72684
"45 handel samt reparation av motorfordon och motorcyklar","2022","Summa tillgångar, mnkr",261207
"45 handel samt reparation av motorfordon och motorcyklar","2022","Bruttoinvesteringar, mnkr",10040
"45 handel samt reparation av motorfordon och motorcyklar","2022","Nettoinvesteringar, mnkr",8142
"45 handel samt reparation av motorfordon och motorcyklar","2023","Antal företag",22511
"45 handel samt reparation av motorfordon och motorcyklar","2023","Antal anställda",75266
"45 handel samt reparation av motorfordon och motorcyklar","2023","Nettoomsättning, mnkr",634651
"45 handel samt reparation av motorfordon och motorcyklar","2023","Förädlingsvärde, mnkr",66342
"45 handel samt reparation av motorfordon och motorcyklar","2023","Summa tillgångar, mnkr",310361
"45 handel samt reparation av motorfordon och motorcyklar","2023","Bruttoinvesteringar, mnkr",11174
"45 handel samt reparation av motorfordon och motorcyklar","2023","Nettoinvesteringar, mnkr",8296
"45 handel samt reparation av motorfordon och motorcyklar","2022","Antal företag",21892
"45 handel samt reparation av motorfordon och motorcyklar","2022","Antal anställda",73141
"45 handel samt reparation av motorfordon och motorcyklar","2022","Nettoomsättning, mnkr",563075
"45 handel samt reparation av motorfordon och motorcyklar","2022","Förädlingsvärde, mnkr",72684
"45 handel samt reparation av motorfordon och motorcyklar","2022","Summa tillgångar, mnkr",261207
"45 handel samt reparation av motorfordon och motorcyklar","2022","Bruttoinvesteringar, mnkr",10040
"45 handel samt reparation av motorfordon och motorcyklar","2022","Nettoinvesteringar, mnkr",8142
"45 handel samt reparation av motorfordon och motorcyklar","2023","Antal företag",22511
"45 handel samt reparation av motorfordon och motorcyklar","2023","Antal anställda",75266
"45 handel samt reparation av motorfordon och motorcyklar","2023","Nettoomsättning, mnkr",634651
"45 handel samt reparation av motorfordon och motorcyklar","2023","Förädlingsvärde, mnkr",66342
"45 handel samt reparation av motorfordon och motorcyklar","2023","Summa tillgångar, mnkr",310361
"45 handel samt reparation av motorfordon och motorcyklar","2023","Bruttoinvesteringar, mnkr",11174
"45 handel samt reparation av motorfordon och motorcyklar","2023","Nettoinvesteringar, mnkr",8296
"45.1 handel med motorfordon utom motorcyklar","2022","Antal företag",6208
"45.1 handel med motorfordon utom motorcyklar","2022","Antal anställda",36987
"45.1 handel med motorfordon utom motorcyklar","2022","Nettoomsättning, mnkr",424228
"45.1 handel med motorfordon utom motorcyklar","2022","Förädlingsvärde, mnkr",41519
"45.1 handel med motorfordon utom motorcyklar","2022","Summa tillgångar, mnkr",162028
"45.1 handel med motorfordon utom motorcyklar","2022","Bruttoinvesteringar, mnkr",6694
"45.1 handel med motorfordon utom motorcyklar","2022","Nettoinvesteringar, mnkr",5427
"45.1 handel med motorfordon utom motorcyklar","2023","Antal företag",6465
"45.1 handel med motorfordon utom motorcyklar","2023","Antal anställda",38503
"45.1 handel med motorfordon utom motorcyklar","2023","Nettoomsättning, mnkr",487499
"45.1 handel med motorfordon utom motorcyklar","2023","Förädlingsvärde, mnkr",32442
"45.1 handel med motorfordon utom motorcyklar","2023","Summa tillgångar, mnkr",191756
"45.1 handel med motorfordon utom motorcyklar","2023","Bruttoinvesteringar, mnkr",7680
"45.1 handel med motorfordon utom motorcyklar","2023","Nettoinvesteringar, mnkr",5493
"45.11 handel med personbilar och lätta motorfordon","2022","Antal företag",5389
"45.11 handel med personbilar och lätta motorfordon","2022","Antal anställda",34012
"45.11 handel med personbilar och lätta motorfordon","2022","Nettoomsättning, mnkr",401457
"45.11 handel med personbilar och lätta motorfordon","2022","Förädlingsvärde, mnkr",37877
"45.11 handel med personbilar och lätta motorfordon","2022","Summa tillgångar, mnkr",146423
"45.11 handel med personbilar och lätta motorfordon","2022","Bruttoinvesteringar, mnkr",6274
"45.11 handel med personbilar och lätta motorfordon","2022","Nettoinvesteringar, mnkr",5052
"45.11 handel med personbilar och lätta motorfordon","2023","Antal företag",5632
"45.11 handel med personbilar och lätta motorfordon","2023","Antal anställda",35574
"45.11 handel med personbilar och lätta motorfordon","2023","Nettoomsättning, mnkr",464873
"45.11 handel med personbilar och lätta motorfordon","2023","Förädlingsvärde, mnkr",29015
"45.11 handel med personbilar och lätta motorfordon","2023","Summa tillgångar, mnkr",176641
"45.11 handel med personbilar och lätta motorfordon","2023","Bruttoinvesteringar, mnkr",7316
"45.11 handel med personbilar och lätta motorfordon","2023","Nettoinvesteringar, mnkr",5267
"45.19 handel med andra motorfordon utom motorcyklar","2022","Antal företag",819
"45.19 handel med andra motorfordon utom motorcyklar","2022","Antal anställda",2975
"45.19 handel med andra motorfordon utom motorcyklar","2022","Nettoomsättning, mnkr",22772
"45.19 handel med andra motorfordon utom motorcyklar","2022","Förädlingsvärde, mnkr",3642
"45.19 handel med andra motorfordon utom motorcyklar","2022","Summa tillgångar, mnkr",15605
"45.19 handel med andra motorfordon utom motorcyklar","2022","Bruttoinvesteringar, mnkr",421
"45.19 handel med andra motorfordon utom motorcyklar","2022","Nettoinvesteringar, mnkr",375
"45.19 handel med andra motorfordon utom motorcyklar","2023","Antal företag",833
"45.19 handel med andra motorfordon utom motorcyklar","2023","Antal anställda",2929
"45.19 handel med andra motorfordon utom motorcyklar","2023","Nettoomsättning, mnkr",22626
"45.19 handel med andra motorfordon utom motorcyklar","2023","Förädlingsvärde, mnkr",3427
"45.19 handel med andra motorfordon utom motorcyklar","2023","Summa tillgångar, mnkr",15115
"45.19 handel med andra motorfordon utom motorcyklar","2023","Bruttoinvesteringar, mnkr",364
"45.19 handel med andra motorfordon utom motorcyklar","2023","Nettoinvesteringar, mnkr",227
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2022","Antal företag",12542
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2022","Antal anställda",23347
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2022","Nettoomsättning, mnkr",63433
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2022","Förädlingsvärde, mnkr",18786
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2022","Summa tillgångar, mnkr",43463
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2022","Bruttoinvesteringar, mnkr",1809
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2022","Nettoinvesteringar, mnkr",1249
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2023","Antal företag",12873
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2023","Antal anställda",23464
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2023","Nettoomsättning, mnkr",64654
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2023","Förädlingsvärde, mnkr",20220
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2023","Summa tillgångar, mnkr",45314
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2023","Bruttoinvesteringar, mnkr",2096
"45.2 underhåll och reparation av motorfordon utom motorcyklar","2023","Nettoinvesteringar, mnkr",1558
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2022","Antal företag",12542
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2022","Antal anställda",23347
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2022","Nettoomsättning, mnkr",63433
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2022","Förädlingsvärde, mnkr",18786
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2022","Summa tillgångar, mnkr",43463
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2022","Bruttoinvesteringar, mnkr",1809
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2022","Nettoinvesteringar, mnkr",1249
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2023","Antal företag",12873
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2023","Antal anställda",23464
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2023","Nettoomsättning, mnkr",64654
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2023","Förädlingsvärde, mnkr",20220
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2023","Summa tillgångar, mnkr",45314
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2023","Bruttoinvesteringar, mnkr",2096
"45.20 underhåll och reparation av motorfordon utom motorcyklar","2023","Nettoinvesteringar, mnkr",1558
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Antal företag",2011
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Antal anställda",11086
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Nettoomsättning, mnkr",64467
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Förädlingsvärde, mnkr",11152
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Summa tillgångar, mnkr",48476
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Bruttoinvesteringar, mnkr",1310
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Nettoinvesteringar, mnkr",1253
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Antal företag",2045
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Antal anställda",11613
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Nettoomsättning, mnkr",70115
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Förädlingsvärde, mnkr",12086
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Summa tillgångar, mnkr",66002
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Bruttoinvesteringar, mnkr",1228
"45.3 handel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Nettoinvesteringar, mnkr",1096
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Antal företag",856
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Antal anställda",4762
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Nettoomsättning, mnkr",44813
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Förädlingsvärde, mnkr",5687
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Summa tillgångar, mnkr",27118
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Bruttoinvesteringar, mnkr",287
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Nettoinvesteringar, mnkr",257
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Antal företag",871
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Antal anställda",5263
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Nettoomsättning, mnkr",48776
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Förädlingsvärde, mnkr",6109
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Summa tillgångar, mnkr",41918
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Bruttoinvesteringar, mnkr",230
"45.31 parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Nettoinvesteringar, mnkr",126
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Antal företag",1155
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Antal anställda",6324
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Nettoomsättning, mnkr",19655
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Förädlingsvärde, mnkr",5465
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Summa tillgångar, mnkr",21357
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Bruttoinvesteringar, mnkr",1023
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2022","Nettoinvesteringar, mnkr",997
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Antal företag",1174
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Antal anställda",6350
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Nettoomsättning, mnkr",21339
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Förädlingsvärde, mnkr",5978
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Summa tillgångar, mnkr",24084
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Bruttoinvesteringar, mnkr",998
"45.32 detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar","2023","Nettoinvesteringar, mnkr",969
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Antal företag",1131
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Antal anställda",1721
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Nettoomsättning, mnkr",10946
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Förädlingsvärde, mnkr",1227
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Summa tillgångar, mnkr",7240
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Bruttoinvesteringar, mnkr",227
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Nettoinvesteringar, mnkr",212
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Antal företag",1128
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Antal anställda",1686
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Nettoomsättning, mnkr",12383
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Förädlingsvärde, mnkr",1593
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Summa tillgångar, mnkr",7290
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Bruttoinvesteringar, mnkr",170
"45.4 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Nettoinvesteringar, mnkr",149
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Antal företag",1131
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Antal anställda",1721
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Nettoomsättning, mnkr",10946
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Förädlingsvärde, mnkr",1227
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Summa tillgångar, mnkr",7240
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Bruttoinvesteringar, mnkr",227
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2022","Nettoinvesteringar, mnkr",212
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Antal företag",1128
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Antal anställda",1686
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Nettoomsättning, mnkr",12383
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Förädlingsvärde, mnkr",1593
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Summa tillgångar, mnkr",7290
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Bruttoinvesteringar, mnkr",170
"45.40 handel med och service av motorcyklar inklusive reservdelar och tillbehör","2023","Nettoinvesteringar, mnkr",149
"46 parti- och provisionshandel utom med motorfordon","2022","Antal företag",33925
"46 parti- och provisionshandel utom med motorfordon","2022","Antal anställda",200909
"46 parti- och provisionshandel utom med motorfordon","2022","Nettoomsättning, mnkr",1899679
"46 parti- och provisionshandel utom med motorfordon","2022","Förädlingsvärde, mnkr",274412
"46 parti- och provisionshandel utom med motorfordon","2022","Summa tillgångar, mnkr",1600595
"46 parti- och provisionshandel utom med motorfordon","2022","Bruttoinvesteringar, mnkr",17721
"46 parti- och provisionshandel utom med motorfordon","2022","Nettoinvesteringar, mnkr",15696
"46 parti- och provisionshandel utom med motorfordon","2023","Antal företag",34072
"46 parti- och provisionshandel utom med motorfordon","2023","Antal anställda",197531
"46 parti- och provisionshandel utom med motorfordon","2023","Nettoomsättning, mnkr",1880858
"46 parti- och provisionshandel utom med motorfordon","2023","Förädlingsvärde, mnkr",268363
"46 parti- och provisionshandel utom med motorfordon","2023","Summa tillgångar, mnkr",1529379
"46 parti- och provisionshandel utom med motorfordon","2023","Bruttoinvesteringar, mnkr",18106
"46 parti- och provisionshandel utom med motorfordon","2023","Nettoinvesteringar, mnkr",15686
"46 parti- och provisionshandel utom med motorfordon","2022","Antal företag",33925
"46 parti- och provisionshandel utom med motorfordon","2022","Antal anställda",200909
"46 parti- och provisionshandel utom med motorfordon","2022","Nettoomsättning, mnkr",1899679
"46 parti- och provisionshandel utom med motorfordon","2022","Förädlingsvärde, mnkr",274412
"46 parti- och provisionshandel utom med motorfordon","2022","Summa tillgångar, mnkr",1600595
"46 parti- och provisionshandel utom med motorfordon","2022","Bruttoinvesteringar, mnkr",17721
"46 parti- och provisionshandel utom med motorfordon","2022","Nettoinvesteringar, mnkr",15696
"46 parti- och provisionshandel utom med motorfordon","2023","Antal företag",34072
"46 parti- och provisionshandel utom med motorfordon","2023","Antal anställda",197531
"46 parti- och provisionshandel utom med motorfordon","2023","Nettoomsättning, mnkr",1880858
"46 parti- och provisionshandel utom med motorfordon","2023","Förädlingsvärde, mnkr",268363
"46 parti- och provisionshandel utom med motorfordon","2023","Summa tillgångar, mnkr",1529379
"46 parti- och provisionshandel utom med motorfordon","2023","Bruttoinvesteringar, mnkr",18106
"46 parti- och provisionshandel utom med motorfordon","2023","Nettoinvesteringar, mnkr",15686
"46.1 provisionshandel utom med motorfordon","2022","Antal företag",3758
"46.1 provisionshandel utom med motorfordon","2022","Antal anställda",6692
"46.1 provisionshandel utom med motorfordon","2022","Nettoomsättning, mnkr",45765
"46.1 provisionshandel utom med motorfordon","2022","Förädlingsvärde, mnkr",8646
"46.1 provisionshandel utom med motorfordon","2022","Summa tillgångar, mnkr",34148
"46.1 provisionshandel utom med motorfordon","2022","Bruttoinvesteringar, mnkr",334
"46.1 provisionshandel utom med motorfordon","2022","Nettoinvesteringar, mnkr",276
"46.1 provisionshandel utom med motorfordon","2023","Antal företag",3706
"46.1 provisionshandel utom med motorfordon","2023","Antal anställda",6063
"46.1 provisionshandel utom med motorfordon","2023","Nettoomsättning, mnkr",44892
"46.1 provisionshandel utom med motorfordon","2023","Förädlingsvärde, mnkr",8012
"46.1 provisionshandel utom med motorfordon","2023","Summa tillgångar, mnkr",28915
"46.1 provisionshandel utom med motorfordon","2023","Bruttoinvesteringar, mnkr",474
"46.1 provisionshandel utom med motorfordon","2023","Nettoinvesteringar, mnkr",343
"46.11 provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat","2022","Antal företag",60
"46.11 provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat","2022","Antal anställda",24
"46.11 provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat","2022","Nettoomsättning, mnkr",256
"46.11 provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat","2022","Förädlingsvärde, mnkr",22
"46.11 provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat","2022","Summa tillgångar, mnkr",160
"46.11 provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat","2022","Bruttoinvesteringar, mnkr",8
"46.11 provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat","2022","Nettoinvesteringar, mnkr",7
"46.11 provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat","2023","Antal företag",60
"46.11 provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat","2023","Antal anställda",18
"46.11 provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat","2023","Nettoomsättning, mnkr",275
"46.11 provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat","2023","Förädlingsvärde, mnkr",22
"46.11 provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat","2023","Summa tillgångar, mnkr",170
